BATS,CBOE,endTime,NASDAQ BX,BATS Y,National,Direct Edge A,NASDAQ,NYSE Arca SM,Direct Edge X,totalVolume,NASDAQ PSX,Chicago,startTime
0.07821118991331757,0.019700551615445233,2014-03-13 09:31:01,0.03171788810086682,0.02462568951930654,0.0,0.05397951142631994,0.44208037825059104,0.23995271867612294,0.08215130023640661,10152,0.027580772261623327,0.0,2014-03-13 09:30:01
0.11569556732645665,0.0,2014-03-13 09:32:01,0.06272651240591023,0.0,0.0,0.053805408419291885,0.3523836074714246,0.14831335377752997,0.2670755505993867,3587,0.0,0.0,2014-03-13 09:31:01
0.0,0.0,2014-03-13 09:33:01,0.0,0.08383986585621463,0.0,0.10542863131418989,0.3829385872982603,0.2383148186962901,0.18947809683504507,4771,0.0,0.0,2014-03-13 09:32:01
0.24579831932773108,0.0,2014-03-13 09:34:01,0.03851540616246499,0.09558823529411764,0.0,0.0350140056022409,0.2976190476190476,0.10504201680672269,0.18242296918767506,2856,0.0,0.0,2014-03-13 09:33:01
0.0625,0.0,2014-03-13 09:35:01,0.04959677419354839,0.0,0.0,0.0,0.2830645161290323,0.3225806451612903,0.28225806451612906,2480,0.0,0.0,2014-03-13 09:34:01
0.0327455919395466,0.0,2014-03-13 09:36:01,0.09855163727959698,0.09540302267002519,0.0,0.0,0.5730478589420654,0.20025188916876574,0.0,3176,0.0,0.0,2014-03-13 09:35:01
0.0,0.0,2014-03-13 09:37:01,0.16216216216216217,0.0,0.0,0.0,0.21621621621621623,0.4859459459459459,0.13567567567567568,1850,0.0,0.0,2014-03-13 09:36:01
0.21565836298932384,0.0,2014-03-13 09:38:01,0.17532621589561093,0.0,0.0,0.0,0.39193357058125744,0.09513641755634639,0.12194543297746145,4215,0.0,0.0,2014-03-13 09:37:01
0.1624493927125506,0.0,2014-03-13 09:39:01,0.0,0.0,0.0,0.14220647773279352,0.35374493927125505,0.20242914979757085,0.13917004048582995,1976,0.0,0.0,2014-03-13 09:38:01
0.1651006711409396,0.0,2014-03-13 09:40:01,0.0,0.08053691275167785,0.005369127516778523,0.03087248322147651,0.26496644295302013,0.18442953020134228,0.22845637583892617,3725,0.040268456375838924,0.0,2014-03-13 09:39:01
0.256243213897937,0.0,2014-03-13 09:41:01,0.05428881650380022,0.10314875135722042,0.0,0.0,0.3583061889250814,0.1465798045602606,0.05428881650380022,1842,0.02714440825190011,0.0,2014-03-13 09:40:01
0.0,0.0,2014-03-13 09:42:01,0.0010438413361169101,0.0,0.0,0.0,0.6263048016701461,0.1638830897703549,0.20876826722338204,958,0.0,0.0,2014-03-13 09:41:01
0.11008906409694846,0.0,2014-03-13 09:43:01,0.02774127609870054,0.08614396262228062,0.0,0.10220470141626514,0.41013286611184113,0.16586362972696744,0.09782449992699664,6849,0.0,0.0,2014-03-13 09:42:01
0.16420361247947454,0.0,2014-03-13 09:44:01,0.059710404537990744,0.09135691894312584,0.0,0.0728466935363487,0.40289595462009253,0.15151515151515152,0.05747126436781609,6699,0.0,0.0,2014-03-13 09:43:01
0.011771630370806356,0.0,2014-03-13 09:45:01,0.0,0.0,0.0,0.08828722778104768,0.45203060623896407,0.34490876986462626,0.04414361389052384,1699,0.05885815185403178,0.0,2014-03-13 09:44:01
0.2155504234026174,0.0,2014-03-13 09:46:01,0.0833974852450603,0.02617397998460354,0.0,0.05029509879394406,0.44239158326918143,0.16294585578650245,0.01924557351809084,3897,0.0,0.0,2014-03-13 09:45:01
0.17543859649122806,0.0,2014-03-13 09:47:01,0.08771929824561403,0.0,0.0,0.0017543859649122807,0.4,0.3333333333333333,0.0017543859649122807,1140,0.0,0.0,2014-03-13 09:46:01
0.15307262569832403,0.0,2014-03-13 09:48:01,0.02011173184357542,0.0,0.0,0.23016759776536314,0.20446927374301677,0.02011173184357542,0.37206703910614525,895,0.0,0.0,2014-03-13 09:47:01
0.13205678441729943,0.0,2014-03-13 09:49:01,0.029052492571805876,0.03301419610432486,0.0,0.0,0.21888412017167383,0.38329481677121163,0.2036975899636844,3029,0.0,0.0,2014-03-13 09:48:01
0.1392644672796106,0.0,2014-03-13 09:50:01,0.05408328826392644,0.019469983775013522,0.0,0.10816657652785289,0.4367225527312061,0.08112493239588967,0.1341265548945376,3698,0.02704164413196322,0.0,2014-03-13 09:49:01
0.15535714285714286,0.017857142857142856,2014-03-13 09:51:01,0.0,0.0,0.0,0.017857142857142856,0.46214285714285713,0.11964285714285715,0.22714285714285715,5600,0.0,0.0,2014-03-13 09:50:01
0.4424357754519505,0.0,2014-03-13 09:52:01,0.06977481763399937,0.06343165239454487,0.0,0.0650174437044085,0.18522042499207103,0.12369172216936251,0.05042816365366318,3153,0.0,0.0,2014-03-13 09:51:01
